review_text,majority_vote
Mau join digojek swadaya giliran drivers pesan bayar pakai gopay malah ditolak dg alasan gopay anda tidak mencukupi ha..ha..ha.. Hoak Lo mending ga usah join digojek swadaya kalo takut rugi mah,anger
"konsultasi dgn dokter anak, dr lingga alhamdulillah d respon dengan baik dan tidak cemas lagi sebagai new mom",happiness
"Halodoc mudah di akses, pelayanan online oke banget, memiliki dokter yg kompeten juga. review dokter membantu jadi pertimbangan. sukses untuk Halodoc",happiness
"Sangat baik,dan mudah digunakan",happiness
Baguss bngt suka,happiness
Sangat membantu buat sy yg selalu di rumah,happiness
Disappointed.,sadness
Sangat membantu daripada harus ngantri ke RS,happiness
"Selalu cocok, bisa diandalkan",happiness
Dokter nya di Hallo doc keren,happiness
Semoga bermanfaat sarannya,happiness
Sangat mudah dalam konsultasi dan lebih detail penjelasannya,happiness
Menolong banget ketika butuh obat,happiness
Payah ga bisa buat resep digital karena ga ada stock obat dihalodoc 👎,anger
Sangat membantu jika sedang sibuk tidak bisa keluar kantor.,sadness
Aplikasi yg Sangat membantu sekali 👍,happiness
Jangan pernah pakai Halo doc.. Aplikasi nay sering error.. Tapi pihak Halo doc nyalahin nya user nya.. Dari penggunaan Halo doc karena dari perusahaan,sadness
"Untuk terakhir kalinya saya menggunakan halodoc. Jawaban Dokternya tidak memuaskan, buang2 uang aja.",sadness
Saya merasa puas atas jawaban dokter,happiness
"Jangan pernah pakai asuransi yg ada di halodoc, tolol dan bodoh semua dibilang ada penyakit padahal cuma sakit biasa dan banyak alasan pada saat mau klaim asuransi",anger
Sangat membantu dsaat kita tidak bisa ke klinik,sadness
responsif,happiness
"Parah banget saldo terpotong, pesanan ga di terima, toko tutup.. ga niat banget kayanya bikin aplikasi, apa pake anak magang aplikasinya?",anger
"saya belum selesai konsultasi tapi sudah habis saja waktunya, jadi dokternya sedikit kesulitan untuk mendiagnosis sakit yg saya derita apa?. saran, Tolong untuk timer Waktunya, agak di perpanjang Lebih dari (30 menit) menurut saya untuk konsultasi tentang kejiwaan itu terlalu cepat🙏🏻(apalagi ini konsultasinya via online bukan langsung). karena problem dan kejadian yg di derita setiap pasien itu berbeda-beda. kadang ada pasien yg ketika di timer itu jadi Tidak fokus menjelaskan.sprti tergupuh",anger
Bayar 50 rebu cuma stengah jam buka perkara waktunya tapi apk tiba tiba ngleg rugi banget uninstal aja sih,anger
dokternya cepat tanggap,happiness
Halo doc memanh terbaik,happiness
"Cari obat, malah di pilih apotik tutup.",anger
Sudah bayar tapi dokter off. Tidak ada pengembalian dana. Sudah d hubungi lewat email tdk ada pengembalian dana juga.,anger
"Giliran genting gabisa konsultasi, pembayaran gagal mulu.",sadness
"Aplikasi ini bagus tapi kurang jelas SOPnya, chat dengan dokter dibatasi 30 menit, tapi yang saya alami, 5 menit awal dan 5 menit akhir saja dokternya online. Chat saya tidak ceklis 2 selama ± 15 menit",sadness
sangat ramah untuk para dokter yg melayani😊,happiness
Aplikasi Halo doc tdk bermanfaat mcm sekelas dokter spesialis anak yg bernama dokter Dwi Lestari Avianti menyarankan anak sy makan gorengan dan coklat padahal usia msh 6 bulan,anger
