,review_text,majority_vote
0,"Responnya lama, sesinya keburu selesai",SADNESS
1,Halodoc sangat membantu,HAPPINESS
2,Praktis ada halodoc,HAPPINESS
3,mudah penggunaan aplikasinya,HAPPINESS
4,"Aplikasi sangat membantu, senang sekali terlebih untuk single parent seperti saya ini yg harus segera mencari solusi terbaik untuk kesehatan anak-anak.",HAPPINESS
5,aplikasinya TOLOL,ANGER
6,Bagus sekali,HAPPINESS
7,konsultasi terasa mudah dan profesional berdasarkan diagnosa.,HAPPINESS
8,gak ngecewain,HAPPINESS
9,sangat praktis konsul disini..dan semua obat yg diberikan manjur,HAPPINESS
10,bagus cepat,HAPPINESS
11,"Sangat membantu bagi ibu yang punya bayi dan anak kecil, dan saya sudah menemukan DSA yg cocok setelah 2x, untuk DSA yang ke 2 dengan dokter Dandug Bawono Sp.A M.Sc. Selanjutnya dokter kulit. Berdasarkan pengalaman, chat dengan dokter, yg tersedia video call atau yg tdk itu sama saja, jadi better yg tdk pkai vcall harga lebih murah, 2x chat dg dokter kulit yg tersedia vcall tapi tdk diangkat akhirnya kirim foto. Tapi resep obatnya cocok. Saran untuk pengguna,pilih dokter yg diatas 95%.",HAPPINESS
12,"Halodoc sangat membantu saat kondisi emergency ringan. Apalagi saat hari libur, yang mana banyak fasilitas kesehatan tutup, dan saat jauh dari faskes. Terutama untuk dokter hewan yang susah ditemui di daerah terpencil, mereka sangat membantu. Cocok untuk memeriksakan kondisi sakit yang ringan, bukan kondisi berat.",HAPPINESS
13,"Responnya sangat cepat sekali, sukaaa deh 🤗",HAPPINESS
14,Pengiriman kode otp gagal..... apa maksudnya itu woy niat mau cari konsultasi kulit buat jerawat malah disusahin dari sananya hadehh,ANGER
15,"saldo terpotong, dokter sibuk, da belum dikembalikan",SADNESS
16,"gak bisa log in anjir, abis otp malah balik ke halaman daftar",ANGER
17,aplikasi sinyal kencang buka lama bngt,SADNESS
18,"Baru mau cb pakai, pesanan d batalkan. Emosi",SADNESS
19,"Obat yang diresepkan semuanya tidak tersedia, dan kalaupun tersedia dari apotek, minta tambahan biaya, kalau tidak mau bayar tambahan obat tidak dikirim",SADNESS
20,selama konsultasi dokter yang saya pilih sangat ramah dan memberi saran juga obat serta memberi jawaban yang baik atas semua pertanyaan saya,HAPPINESS
21,"Aplikasinya bagus, tapi masih suka terasa berat",SADNESS
22,"dengan hari ini 2x saya Konsul lewat halodoc. yang pertama tidak di respon pesan saya, hari ini malah saya sudah bayar tapi tertera selesai pdhal saya sama sekali belum berkonsultasi. sangat mengecewakan",SADNESS
